Bartho_Braat,,Koninkrijk der Nederlanden,nm0102597,1950-08-17T00:00:00Z,,,televisieacteur;filmacteur,Leiden,mannelijk,85424,,,1984-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Bartho%20Braat.png,Braat,414052,/m/0bh3073,mens,,Bartho Braat,,,,,,,,,,,,,,,,403015,,,,,,,,,,,,,,,,,,,,,,,Wouter Braat,,,,,,,,,,,,,,,,,,braa058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ansje_van_Brandenberg,,Koninkrijk der Nederlanden,nm0104584,1933-02-28T00:00:00Z,,Ans-Marie,acteur;televisiepresentator;cabaretier,Amsterdam,vrouwelijk,85568,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ansje%20van%20Brandenberg%20%281964%29.jpg,,432802,,mens,,Ansje van Brandenberg,Ans-Marie Pont,Stadsarchief Rotterdam,,,,,142878824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron_Brandsteder,,Koninkrijk der Nederlanden,nm0104841,1950-05-19T00:00:00Z,,Ron,schrijver;acteur;zanger;televisiepresentator;presentator;cabaretier,,mannelijk,85613,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ron%20Brandsteder%20cropped.jpg,,,,mens,,Ron Brandsteder,,,,,,,,d98d9efa-92c6-44a5-ba14-21d7c31cb92c,,291676436,,,stem,,,,,071047069,,,,,,,,,,,,,492550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nederlands,,,,,,,,,,,,,,,,,,,,,showbizzquiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elsie_de_Brauw,,Koninkrijk der Nederlanden,nm0105984,1960-07-30T00:00:00Z,,Elsie,acteur;uitvoerend kunstenaar;filmacteur,Den Haag,vrouwelijk,85712,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Oberender%2C%20Elsie%20de%20Brauw.JPG,,224283,/m/0gby20r,mens,,Elsie de Brauw,,,,,,,,,,,,,,110246,,100619,,,,,,p382827,,,,,,,,,,,,,Gouden Kalf voor beste actrice;Theo d'Or,,,1892093,,,,,,,,,,,,,,,,,,,brau032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hans_Breetveld,,,,,,Hans,,,,,,,,,,,,mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tooske_Ragas,,Koninkrijk der Nederlanden,nm1193942,1974-06-03T00:00:00Z,,,acteur;zanger;televisiepresentator;presentator;filmacteur,Zwolle,vrouwelijk,144430;85939,,,1998-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Tooske%20Ragas%20stichting%20DON.jpg,,412539,/m/03h2gs2,mens,,Tooske Ragas,Antonia Grietje Breugem,,,,,Tooske Ragas,,dfff967e-09e6-45a4-ab32-c6a21ac962c9,t_breugem,305831847,,viaf-305831847,stem,,0000 0004 2327 5816,,,369279735,,,,,,,,Bastiaan Ragas,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,Nederlands,,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTL Television,,,,,,,,,,,,,,,,,,,,,,,,
Ellis_van_den_Brink,,Koninkrijk der Nederlanden,nm0109548,1947-03-17T00:00:00Z,,Ellis,televisieacteur;toneelacteur;filmacteur;hoorspelacteur,Amsterdam,vrouwelijk,86077,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ellis%20van%20den%20Brink.png,Van den Brink,428047,,mens,,,,,,,,,,,,,,,,,,300359,,,,,,,,,,,,,,,,,,,,,,,Wim van den Brink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nell Koppen,,,,,,,,,,,,,,,,,,,,,,,
Robert_ten_Brink,,Koninkrijk der Nederlanden,nm0109568,1955-10-20T00:00:00Z,,Robert,acteur;televisiepresentator;nieuwslezer;presentator,Amsterdam,mannelijk,86110,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20ten%20Brink.png,,428924,/m/03ybp70,mens,,Robert ten Brink,,,,,,,,,,,,,,,,1416735,,,,,,,,,,,,,,,,,,,Zilveren Televizier-Ster (presentator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nienke_Brinkhuis,http://www.nienkebrinkhuis.nl/,Koninkrijk der Nederlanden,nm1039526,1971-10-10T00:00:00Z,,Nienke,acteur;filmacteur,Kesteren,vrouwelijk,86137,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Nienkebrinkhuis.jpg,,409275,/m/0k408s,mens,,Nienke Brinkhuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maja_van_den_Broecke,,Koninkrijk der Nederlanden,nm0111096,1956-06-16T00:00:00Z,,Maja,acteur,Amsterdam,vrouwelijk,82772,,,1983-01-01T00:00:00Z,,,413348,,mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/g/121rpvss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter_Broekaert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel_Broekman,,Koninkrijk der Nederlanden,nm1291345,1986-12-26T00:00:00Z,,Manuel,acteur;televisiepresentator;diskjockey;presentator;filmacteur,Amsterdam,mannelijk,82858,,,1996-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Manuel%20Broekman.jpg,,400751,,mens,,Manuel Broekman,,,,,,,,,,,,,,547940,,1480649,589474,,,,,p624214,,,704600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/g/11b6dfdw06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medi_Broekman,,Koninkrijk der Nederlanden,nm0111122,1983-09-12T00:00:00Z,,,acteur,Koninkrijk der Nederlanden,vrouwelijk,209668,,,,,,426912,/m/0rqgx3m,mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herman_Brood,http://www.hermanbrood.nl,Koninkrijk der Nederlanden,nm0111596,1946-11-05T00:00:00Z,,Herman,kunstschilder;pianist;schrijver;acteur;dichter;zanger;scenarioschrijver;gitarist;liedschrijver;singer-songwriter;filmacteur,Zwolle,mannelijk,86266,,,1964-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Herman%20Brood%201979.png,Brood,418853,/m/03jcw,mens,Lola Pop Brood,Herman Brood,,Stadsarchief Rotterdam;ASR-kunstcollectie,oeuvre auteursrechtelijk beschermd,Amsterdam,2001-07-11T00:00:00Z,Herman Brood,136735181,b6a8f165-b329-433e-8904-06aec124266f,herman_brood,38638516,agent/base/60029,lccn-n96043127,piano;gitaar;stem,,0000 0000 9554 1707,101198,486193,073352330,M00000000542,RCA Records,,,zelfdoding,zelfdoding door springen van hoogte,,Xandra Jansen,120393522,populaire-muziek/herman-brood,n96043127,,267937,rock-'n-roll,,mn0000910396,Popprijs;Zilveren Harp;Gouden Harp,,,,,249116,,,,,,,c80d6703d9774bccb39cc7a1b180e6e8,120393522,,082043213,,,,,,,broo001,12961,,Nederlands,,,,,,,,,,,,XX1578380,,,,,,65076921,,,,,,374071,,,23302,,,,,b/brood_herman,,,,,,,,,,,,,,,,,,herman-brood,herman-brood,02000000050,7fe89213-ca7f-e011-81ad-002264c49834,M-003269,w6bd238n,omi2eh27sc,vertegenwoordigd door CISAC-lid,herman-brood,13798,Groningen;Amsterdam;Arnhem;Verenigde Staten van Amerika,4B52C57DF92CE2B6,http://commons.wikimedia.org/wiki/Special:FilePath/Zv-Hermanbrood.jpg,Herman Brood,Brood-3,Herman-Brood,6000000014290240896,Categorie:Herman Brood,herman-brood,B00027073,,,
Dolf_Brouwers,,Koninkrijk der Nederlanden,nm0112840,1912-08-31T00:00:00Z,,Dolf,acteur;zanger;televisieacteur;cabaretier,,mannelijk,86399,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Dolf%20Brouwers.jpg,Brouwers,433355,/m/01vyfh6,mens,,Dolf Brouwers,,,,,1997-09-23T00:00:00Z,,,747a40fe-c624-445e-9f7b-f254e805878b,,47665990,,lccn-n86033417,stem,,0000 0001 2025 2086,,,069803692,M00000079351,,,,,,,,123315522,,n86033417,,519958,,,,,,Sjef van Oekel,,,,,,,,,,,,,,,,,,,,,,,,,,,tenor,,,,,,,,,,,,,,,,,,,,1718301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin_Brozius,,Koninkrijk der Nederlanden,nm0115339,1941-11-04T00:00:00Z,,Martin,acteur;televisieacteur;televisiepresentator;presentator;cabaretier,,mannelijk,86494,,,1968-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Brozius.jpg,,414146,/m/05zr8jg,mens,,Martin Brozius,,,,,2009-03-24T00:00:00Z,,,08dda237-df71-477a-9d5a-6d0ec36b5a6f,,280969853,,viaf-280969853,,,0000 0001 3271 4719,,,070242569,M00000053567,,,,,,,,,,,,2116038,,,,,,,,,,,,,,,,,,,,,,,,https://filmwiki.nl/Martin_Brozius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddy_Brugman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caroline_De_Bruijn,,Koninkrijk der Nederlanden,nm0115836,1962-07-31T00:00:00Z,,Caroline,acteur;televisieacteur;televisiepresentator;presentator,Dordrecht,vrouwelijk,86746,,,1990-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Caroline%20De%20Bruijn.jpg,De Bruijn,416444,/m/0bbrnhy,mens,,Caroline De Bruijn,,,,,,,,,,284136860,,viaf-284136860,,,,,,164403639,,,,,,,,Erik de Vogel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koert-Jan_de_Bruijn,,Koninkrijk der Nederlanden,nm1179470,1976-08-15T00:00:00Z,,Koert,acteur;televisieacteur;televisiepresentator;presentator,Amsterdam,mannelijk,86759,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Koert-Jan%20de%20Bruijn.jpg,De Bruijn,,,mens,,Koert-Jan de Bruijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joke_Bruijs,http://www.jokebruijs.nl/,Koninkrijk der Nederlanden,nm0115840,1952-01-14T00:00:00Z,,Joke,acteur;zanger;televisieacteur;cabaretier,Rotterdam,vrouwelijk,86773,,,1970-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Joke%20Bruijs.png,,392136,/m/01w0m25,mens,,Joke Bruijs,,,,,,Joke Bruijs,,acb20473-6642-4948-b1bb-fa45a86046f0,,305803356,,lccn-no2016030433,stem,,0000 0001 3158 6823,268641,,354885707,M00000098722,,,,,,,,,,no2016030433,,,,,,,,,,,3565581,,,,,,,,,,,,,,,,,,,,Nederlands,,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hajo_Bruins,,Koninkrijk der Nederlanden,nm0115856,1959-03-27T00:00:00Z,,Hajo,acteur,Steenwijk,mannelijk,86862,,,1988-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Hajo%20Bruins.jpg,Bruins,,/m/0gc59ps,mens,,Hajo Bruins,,,,,,,,,,5898148814309745330004,,viaf-5898148814309745330004,,,,723253,,,,,,p543153,,,,,,,,,,,,,,,,1907793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linde van den Heuvel,,
Edo_Brunner,,Koninkrijk der Nederlanden,nm0116373,1970-10-11T00:00:00Z,,Edo,acteur;televisiepresentator;presentator,Dordrecht,mannelijk,86951,,,1995-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Edo%20Brunner.jpg,Brunner,45331,/m/0274fwd,mens,,Edo Brunner,,,,,,,,,,,,,,283556,,237115,,,,,,p358135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kees_Brusse,,Koninkrijk der Nederlanden,nm0116733,1925-02-26T00:00:00Z,,Kees,schrijver;scenarioschrijver;televisieacteur;filmregisseur;filmacteur,Rotterdam,mannelijk,86993,,,1936-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Kees%20Brusse.jpg,Brusse,,/m/0cmdjf0,mens,,Kees Brusse,,Stadsarchief Rotterdam,oeuvre auteursrechtelijk beschermd,Laren,2013-12-09T00:00:00Z,,143130729,,,108009401,,lccn-no2010033631,,,0000 0003 7204 5470,329489,508398,070095000,M00000091712,,7231,p219226,,emfyseem,218926,,1061575659,,no2010033631,,848297,,,,,,,,Marie Joseph Brusse,,,xx0172508,,184112,223795,,437f1d978e794f138b87532a3be9e957,1061575659,,,,,,,,,,,,Nederlands,FilmWiki.nl;Obalky knih.cz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Brusse;Jan Brusse;Mark Brusse;Ytzen Brusse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik_de_Bruyn,,,,,,,,,,,,,,,,,,Wikimedia-doorverwijspagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Els_Buitendijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joost_Buitenweg,,Koninkrijk der Nederlanden,nm0119691,1967-05-24T00:00:00Z,,Joost,acteur;filmproducent;televisieacteur;televisiepresentator;filmregisseur,Amsterdam,mannelijk,87304,,,,,,,,mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/g/1232jq1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacha_Bulthuis,,Koninkrijk der Nederlanden,nm0120259,1948-05-24T00:00:00Z,,Alexandra,acteur,Doorn,vrouwelijk,87379,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sacha%20Bulthuis%20en%20Siem%20Vroom%20%281974%29.jpg,Bulthuis,413225,/m/0j7tgz8,mens,Aus Greidanus jr.;Pauline Greidanus,Sacha Bulthuis,Alexandra Paula Maria Bulthuis,,,Den Haag,2009-10-15T00:00:00Z,,,,,100830111,,lccn-no2009152706,,,0000 0003 7204 5104,,,,,,,,natuurlijke dood,kanker,,Aus Greidanus sr.,,toneel/sacha-bulthuis,no2009152706,,,,,,Victorine Heftingprijs;Prosceniumprijs;Theo d'Or,3,,,Rico Bulthuis,,,,,,,,,,,,Toneelgroep De Appel,,,,,,,,,,1001 vrouwen in de 20ste eeuw,,,,,,,,,,,,,,,,,,,,,,,,,Academie voor Theater en Dans,,Bulthuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sacha Bulthuis,
Daphne_Bunskoek,,Koninkrijk der Nederlanden,nm1135487,1973-11-22T00:00:00Z,,Daphne,acteur;televisiepresentator;presentator,Almelo,vrouwelijk,87437,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bunskoek2013.jpg,Bunskoek,,,mens,,Daphne Bunskoek,,,,,,,,,,303641744,,viaf-303641744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9810596677005606
Claude_De_Burie,,België,nm0121525,1968-01-23T00:00:00Z,,Claude,acteur,,mannelijk,,,,,,,,,mens,,,,,,,,,,,,,,,,,,1737376,,,,,,,,,,,,,,,,,,,,,,1891101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felix_Burleson,,Koninkrijk der Nederlanden,nm0122121,1948-06-08T00:00:00Z,,Felix,acteur,Albina,mannelijk,87647,,,1981-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/FelixBurleson1.JPG,,,/m/0d9m7p3,mens,,Felix Burleson,,,,,,,,,,292020676,,viaf-292020676,,,0000 0003 9701 9965,746306,,242717861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reinout_Bussemaker,,Koninkrijk der Nederlanden,nm0124453,1959-01-01T00:00:00Z,,Reinout,acteur;filmacteur,Leiden,mannelijk,87790,,,1982-01-01T00:00:00Z,,,202425,/m/0bt_d9r,mens,,,,,,,,,,,,107052368,,,,316220,,100620,425934,,,,,p9886,,,,,1061831310,,,,,,,,,,,,,,,,,227961,,,781dcaadd1754b038f6077ede2afb23e,1061831310,,,,,,,,,,,,,,,,,3650652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred_Butter,http://www.fredbutter.nl/,Koninkrijk der Nederlanden,nm1399741,1957-06-13T00:00:00Z,,Fred,acteur;televisieacteur,,mannelijk,87847,,,,,Butter,,,mens,,,,,,,,,,53d223ae-78b7-4275-a299-aaac39159872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frits_Butzelaar,,Koninkrijk der Nederlanden,nm0125482,1920-03-13T00:00:00Z,,Frits,acteur;atleet;televisieregisseur,,mannelijk,87857,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Morgen%20gebeurt%20het%20-%20Fritz%20Butzelaar.jpg,,,,mens,,Frits Butzelaar,,,,,2000-04-11T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,atletiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anne_Buurma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
